# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1   2.87562e+06       1695.77        269.89    0.00370522
              2   2.87562e+06       1695.77        269.89    0.00370522
              3   4.43645e+06       2106.29       335.226    0.00298306
              4   4.43645e+06       2106.29       335.226    0.00298306
              5   6.81926e+06       2611.37       415.612    0.00240609
              6   6.81926e+06       2611.37       415.612    0.00240609
              7   9.29843e+06       3049.33       485.316    0.00206051
              8   1.02191e+07       3196.73       508.776     0.0019655
              9   1.02191e+07       3196.73       508.776     0.0019655
             10   1.38073e+07       3715.82       591.391    0.00169093
             11   1.38073e+07       3715.82       591.391    0.00169093
             12   1.50742e+07       3882.55       617.927    0.00161831
             13   1.50742e+07       3882.55       617.927    0.00161831
             14   1.89397e+07       4351.97       692.638    0.00144376
             15   1.89397e+07       4351.97       692.638    0.00144376
             16   2.11064e+07       4594.17       731.184    0.00136764
             17   2.46067e+07       4960.51        789.49    0.00126664
             18   2.46067e+07       4960.51        789.49    0.00126664
             19   2.64906e+07        5146.9       819.155    0.00122077
             20   2.64906e+07        5146.9       819.155    0.00122077
             21   2.67139e+07       5168.55         822.6    0.00121566
             22   2.83651e+07       5325.89       847.642    0.00117974
             23   2.83651e+07       5325.89       847.642    0.00117974
             24   2.84025e+07        5329.4         848.2    0.00117897
             25   2.84025e+07        5329.4         848.2    0.00117897


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        79.4041       79.4041       79.4041       6.89889       6.89889       4.96276


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        71.4637       71.4637       71.4637       5.35148       5.35148       4.46648


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
           0.25   -9.5467e-10      0.654508


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
             21             0             0             0             0             0             0
             22       5.19656      0.128541             0             0             0             0
             23      0.128541       5.19656             0             0             0             0
             24             0   3.68334e-10             0             0             0             0
             25             0   1.77995e-10             0             0             0             0


* 8. MODAL PARTICIPATION MASSES (cumulative):
# The cumulative modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1             0             0             0             0             0             0
              2             0             0             0             0             0             0
              3       58.6548       1.45093             0             0             0             0
              4       60.1057       60.1057             0             0             0             0
              5       60.1057       60.1057             0             0             0             0
              6       60.1057       60.1057             0             0             0             0
              7       60.1057       60.1057             0             0             0       3.94832
              8       60.1057       60.1057             0             0             0       3.94832
              9       60.1057       60.1057             0             0             0       3.94832
             10       60.1057       60.1057             0             0             0       3.94832
             11       60.1057       60.1057             0             0             0       3.94832
             12       60.1057       60.1057             0     0.0571637       2.31055       3.94832
             13       60.1057       60.1057             0       2.36772       2.36772       3.94832
             14       60.1057       60.1057             0       2.36772       2.36772       3.94832
             15       60.1057       60.1057             0       2.36772       2.36772       3.94832
             16       60.1057       60.1057       36.0704       2.36772       2.36772       3.94832
             17       60.1057       60.1057       36.0704       2.36772       2.36772       3.94832
             18       60.1057       60.1057       36.0704       2.36772       2.36772       3.94832
             19       60.1057       60.1057       36.0704       2.36772       2.36772       3.94832
             20       60.1057       60.1057       36.0704       2.36772       2.36772       3.94832
             21       60.1057       60.1057       36.0704       2.36772       2.36772       3.94832
             22       65.3023       60.2343       36.0704       2.36772       2.36772       3.94832
             23       65.4308       65.4308       36.0704       2.36772       2.36772       3.94832
             24       65.4308       65.4308       36.0704       2.36772       2.36772       3.94832
             25       65.4308       65.4308       36.0704       2.36772       2.36772       3.94832


* 9. MODAL PARTICIPATION MASS RATIOS (%):
# The modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1             0             0             0             0             0             0
              2             0             0             0             0             0             0
              3       82.0763        2.0303             0             0             0             0
              4        2.0303       82.0763             0             0             0             0
              5             0             0             0             0             0             0
              6             0             0             0             0             0             0
              7             0             0             0             0             0       88.3989
              8             0             0             0             0             0             0
              9             0             0             0             0             0             0
             10             0             0             0             0             0             0
             11             0             0             0             0             0             0
             12             0             0             0       1.06818        43.176             0
             13             0             0             0        43.176       1.06818             0
             14             0             0             0             0             0             0
             15             0             0             0             0             0             0
             16             0             0       50.4737             0             0             0
             17             0             0             0             0             0             0
             18             0             0             0             0             0             0
             19             0             0             0             0             0             0
             20             0             0             0             0             0             0
             21             0             0             0             0             0             0
             22        7.2716      0.179869             0             0             0             0
             23      0.179869        7.2716             0             0             0             0
             24             0   5.15413e-10             0             0             0             0
             25             0   2.49071e-10             0             0             0             0


* 10. MODAL PARTICIPATION MASS RATIOS (%) (cumulative):
# The cumulative modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1             0             0             0             0             0             0
              2             0             0             0             0             0             0
              3       82.0763        2.0303             0             0             0             0
              4       84.1066       84.1066             0             0             0             0
              5       84.1066       84.1066             0             0             0             0
              6       84.1066       84.1066             0             0             0             0
              7       84.1066       84.1066             0             0             0       88.3989
              8       84.1066       84.1066             0             0             0       88.3989
              9       84.1066       84.1066             0             0             0       88.3989
             10       84.1066       84.1066             0             0             0       88.3989
             11       84.1066       84.1066             0             0             0       88.3989
             12       84.1066       84.1066             0       1.06818        43.176       88.3989
             13       84.1066       84.1066             0       44.2441       44.2441       88.3989
             14       84.1066       84.1066             0       44.2441       44.2441       88.3989
             15       84.1066       84.1066             0       44.2441       44.2441       88.3989
             16       84.1066       84.1066       50.4737       44.2441       44.2441       88.3989
             17       84.1066       84.1066       50.4737       44.2441       44.2441       88.3989
             18       84.1066       84.1066       50.4737       44.2441       44.2441       88.3989
             19       84.1066       84.1066       50.4737       44.2441       44.2441       88.3989
             20       84.1066       84.1066       50.4737       44.2441       44.2441       88.3989
             21       84.1066       84.1066       50.4737       44.2441       44.2441       88.3989
             22       91.3782       84.2865       50.4737       44.2441       44.2441       88.3989
             23       91.5581       91.5581       50.4737       44.2441       44.2441       88.3989
             24       91.5581       91.5581       50.4737       44.2441       44.2441       88.3989
             25       91.5581       91.5581       50.4737       44.2441       44.2441       88.3989


